customer_state,total_sales,total_orders,unique_customers,avg_lat,avg_lng,avg_order_value,churn_rate
SP,5878918.51,41126,39748,-23.510969344381,-46.69417000822423,142.95,0.5689
RJ,2115956.44,12697,12241,-22.88751675166894,-43.24398668180498,166.65,0.6349
MG,1843460.37,11496,11134,-19.92582577782904,-43.97877855453075,160.36,0.6174
RS,877697.93,5416,5234,-29.887766015031456,-51.22766868774895,162.06,0.6325
PR,794407.35,4982,4824,-25.38905602605743,-50.31106842970416,159.46,0.6023
SC,608180.51,3600,3502,-27.11638950764605,-48.9895094759831,168.94,0.6417
BA,607041.45,3344,3244,-12.947972582526088,-38.76607384332712,181.53,0.611
DF,351350.03,2120,2057,-15.817454799245827,-47.96268920872266,165.73,0.5796
GO,340626.24,1998,1934,-16.68688680787409,-49.26021568014096,170.48,0.6311
ES,323105.75,2018,1950,-20.29948099526813,-40.31346088666388,160.11,0.6246
PE,321120.88,1643,1600,-8.081380374078106,-34.94972100325105,195.45,0.6125
CE,274549.81,1323,1301,-3.795058305208756,-38.57984544240867,207.52,0.6423
PA,217484.52,969,944,-1.4478332105285268,-48.473887637919226,224.44,0.6653
MT,186222.41,902,872,-15.556810920088854,-56.059281,206.46,0.6383
MA,150691.7,736,715,-2.5615055964934945,-44.270437725229385,204.74,0.6765
PB,140519.57,531,516,-7.122284717923415,-34.91157361741591,264.63,0.6252
MS,135929.68,708,687,-20.48412664863804,-54.609696916873446,191.99,0.6108
PI,107859.45,490,478,-5.089456073053631,-42.76773366438103,220.12,0.6318
RN,101908.6,482,471,-5.843262821521501,-35.258448887039066,211.43,0.6518
AL,96252.7,411,399,-9.632971026920206,-35.75477750805007,234.19,0.6591
SE,73032.32,345,338,-10.930554081164722,-37.07104333389113,211.69,0.6637
TO,61103.85,278,271,-10.19090465915063,-48.3227514387811,219.8,0.6162
RO,57433.47,246,234,-9.894912456104626,-63.792127595969184,233.47,0.691
AM,27846.44,147,142,-3.090370143632046,-60.01020551636287,189.43,0.6408
AC,19680.62,81,77,-9.968815683567625,-67.828796737997,242.97,0.7922
AP,16262.8,68,67,0.034217048754791854,-51.07000546471101,239.16,0.6269
RR,9948.97,45,44,2.821374037729382,-60.6803409946078,221.09,0.6136
